분류번호,위험물유형,수집날짜,위도,경도,노드링크,시작노드,끝노드,도로명주소,데이터 기준일자
1,노면표시훼손,2021-09-01 00:05,37.39072261,126.950118,2090046700,2090015700,2090014700,경기도 안양시 동안구 시민대로,2021-12-17
2,노면표시훼손,2021-09-01 00:07,37.38741315,126.9459839,2090040400,2090013800,2090013400,경기도 안양시 동안구 시민대로,2021-12-17
3,노면표시훼손,2021-09-01 00:07,37.38741315,126.9459839,2090040400,2090013800,2090013400,경기도 안양시 동안구 시민대로,2021-12-17
4,노면표시훼손,2021-09-01 00:07,37.38741315,126.9459839,2090040400,2090013800,2090013400,경기도 안양시 동안구 시민대로,2021-12-17
5,노면표시훼손,2021-09-01 00:33,37.40270681,126.9181354,2080036800,2080014000,2080014100,경기도 안양시 만안구 박달로,2021-12-17
6,노면표시훼손,2021-09-01 00:33,37.4025922,126.9181927,2080033201,2080014100,2080012801,경기도 안양시 만안구 안양로,2021-12-17
7,노면표시훼손,2021-09-01 00:51,37.38462622,126.9299386,2080009700,2080004800,2080004200,경기도 안양시 만안구 문예로,2021-12-17
8,노면표시훼손,2021-09-01 00:51,37.38462622,126.9299386,2080009700,2080004800,2080004200,경기도 안양시 만안구 문예로,2021-12-17
9,노면표시훼손,2021-09-01 00:51,37.38462622,126.9299386,2080009700,2080004800,2080004200,경기도 안양시 만안구 문예로,2021-12-17
10,노면표시훼손,2021-09-01 00:51,37.38462622,126.9299386,2080009700,2080004800,2080004200,경기도 안양시 만안구 문예로,2021-12-17
11,노면표시훼손,2021-09-01 00:51,37.38459483,126.9301239,2080009600,2080004200,2080004800,경기도 안양시 만안구 문예로,2021-12-17
12,노면표시훼손,2021-09-01 00:51,37.38459483,126.9301239,2080009600,2080004200,2080004800,경기도 안양시 만안구 문예로,2021-12-17
13,노면표시훼손,2021-09-01 00:51,37.38459483,126.9301239,2080009600,2080004200,2080004800,경기도 안양시 만안구 문예로,2021-12-17
