분류번호,위험물유형,수집날짜,위도,경도,노드링크,시작노드,끝노드,도로명주소,데이터 기준일자
1,도로수리훼손,2021-09-01 00:25,37.36466312,126.9586349,2090014900,2250016700,2090000100,경기도 안양시 동안구 농심로,2021-12-17
2,도로수리훼손,2021-09-01 00:28,37.3681155,126.9516151,2090000800,2090000500,2090000300,경기도 안양시 동안구 흥안대로,2021-12-17
3,도로수리훼손,2021-09-01 01:21,37.38205384,126.9499409,2090031700,2090001900,2090011300,경기도 안양시 동안구 귀인로,2021-12-17
4,도로수리훼손,2021-09-01 02:01,37.37552612,126.9564891,2090002500,2090001000,2090000700,경기도 안양시 동안구 경수대로,2021-12-17
5,도로수리훼손,2021-09-01 02:01,37.37525018,126.9566327,2090002500,2090001000,2090000700,경기도 안양시 동안구 경수대로,2021-12-17
6,도로수리훼손,2021-09-01 02:03,37.36585779,126.9583574,2090000102,2090000102,2090000100,경기도 안양시 동안구 경수대로,2021-12-17
7,도로수리훼손,2021-09-01 03:22,37.40303986,126.9771924,2090013900,2200027700,2090006000,경기도 안양시 동안구 과천대로,2021-12-17
8,도로수리훼손,2021-09-01 05:40,37.38271462,126.934977,2080006800,2250020400,2080004100,경기도 안양시 만안구 안양로,2021-12-17
9,도로수리훼손,2021-09-01 06:07,37.36790197,126.9514635,2090000400,2250003400,2090000300,경기도 안양시 동안구 흥안대로,2021-12-17
10,도로수리훼손,2021-09-01 06:07,37.36790197,126.9514635,2090000400,2250003400,2090000300,경기도 안양시 동안구 흥안대로,2021-12-17
11,도로수리훼손,2021-09-01 06:07,37.36790197,126.9514635,2090000400,2250003400,2090000300,경기도 안양시 동안구 흥안대로,2021-12-17
12,도로수리훼손,2021-09-01 06:11,37.3778227,126.9695692,2090182501,2260003500,2260003400,경기도 안양시 동안구 흥안대로,2021-12-17
13,도로수리훼손,2021-09-01 06:16,37.3922334,126.9744103,2090008106,2090003004,2090003001,경기도 안양시 동안구 흥안대로,2021-12-17
14,도로수리훼손,2021-09-01 06:38,37.38178354,126.9635203,2090181600,2260005800,2090010300,경기도 안양시 동안구 서울외곽순환고속도로,2021-12-17
15,도로수리훼손,2021-09-01 06:38,37.38182196,126.9636606,2090181600,2260005800,2090010300,경기도 안양시 동안구 서울외곽순환고속도로,2021-12-17
16,도로수리훼손,2021-09-01 06:41,37.37748592,126.962178,2090020000,2090008700,2090007700,경기도 안양시 동안구 평촌대로,2021-12-17
17,도로수리훼손,2021-09-01 21:20,37.39578219,126.9791092,2090060800,2090003900,2090018700,경기도 안양시 동안구 학의로,2021-12-17
18,도로수리훼손,2021-09-01 21:20,37.39586498,126.9788827,2090060800,2090003900,2090018700,경기도 안양시 동안구 학의로,2021-12-17
19,도로수리훼손,2021-09-01 21:21,37.39664878,126.9769092,2090060900,2090018700,2090003900,경기도 안양시 동안구 학의로,2021-12-17
20,도로수리훼손,2021-09-01 22:43,37.36553987,126.9585439,2090000201,2090000100,2090000102,경기도 안양시 동안구 경수대로,2021-12-17
21,도로수리훼손,2021-09-01 22:44,37.3747212,126.9570546,2090002600,2090000700,2090001000,경기도 안양시 동안구 경수대로,2021-12-17
22,도로수리훼손,2021-09-01 23:13,37.40340644,126.9494175,2090077400,2090024500,2090005900,경기도 안양시 동안구 평촌대로,2021-12-17
23,도로수리훼손,2021-09-01 23:32,37.40245573,126.9268058,2080160700,2080016600,2090006100,경기도 안양시 만안구 경수대로1001번길,2021-12-17
24,도로수리훼손,2021-09-01 23:33,37.3731649,126.9469596,2090016604,2090036201,2090036200,경기도 안양시 동안구 엘에스로,2021-12-17
25,도로수리훼손,2021-09-01 23:33,37.37315235,126.9469787,2090016604,2090036201,2090036200,경기도 안양시 동안구 엘에스로,2021-12-17
26,도로수리훼손,2021-09-01 23:33,37.37314016,126.9469973,2090016604,2090036201,2090036200,경기도 안양시 동안구 엘에스로,2021-12-17
27,도로수리훼손,2021-09-01 23:34,37.37276893,126.9475631,2090016604,2090036201,2090036200,경기도 안양시 동안구 엘에스로,2021-12-17
28,도로수리훼손,2021-09-01 23:34,37.37271629,126.9476433,2090016604,2090036201,2090036200,경기도 안양시 동안구 엘에스로,2021-12-17
29,도로수리훼손,2021-09-01 23:46,37.38355658,126.972321,2090183401,2090002100,2090058301,경기도 안양시 동안구 흥안대로,2021-12-17
30,도로수리훼손,2021-09-02 00:12,37.39262302,126.9747223,2090008207,2090003004,2090003006,경기도 안양시 동안구 흥안대로,2021-12-17
31,도로수리훼손,2021-09-02 00:12,37.39301967,126.9748938,2090008208,2090003006,2090003002,경기도 안양시 동안구 흥안대로,2021-12-17
32,도로수리훼손,2021-09-02 00:46,37.39302359,126.9748955,2090008208,2090003006,2090003002,경기도 안양시 동안구 흥안대로,2021-12-17
33,도로수리훼손,2021-09-02 00:48,37.3977194,126.9770271,2090012404,2090003902,2090003904,경기도 안양시 동안구 흥안대로,2021-12-17
34,도로수리훼손,2021-09-02 01:29,37.39482667,126.9813262,2090059700,2260006200,2090018700,경기도 안양시 동안구 학의로,2021-12-17
35,도로수리훼손,2021-09-02 01:29,37.39474654,126.9813991,2090059700,2260006200,2090018700,경기도 안양시 동안구 학의로,2021-12-17
36,도로수리훼손,2021-09-02 01:29,37.39482667,126.9813262,2090059700,2260006200,2090018700,경기도 안양시 동안구 학의로,2021-12-17
37,도로수리훼손,2021-09-02 01:29,37.39482667,126.9813262,2090059700,2260006200,2090018700,경기도 안양시 동안구 학의로,2021-12-17
38,도로수리훼손,2021-09-02 01:35,37.38602433,126.9271559,2080009802,2080004201,2080005200,경기도 안양시 만안구 냉천로,2021-12-17
39,도로수리훼손,2021-09-02 02:33,37.39588108,126.9791639,2090060900,2090018700,2090003900,경기도 안양시 동안구 학의로,2021-12-17
40,도로수리훼손,2021-09-02 02:59,37.39274258,126.974774,2090008207,2090003004,2090003006,경기도 안양시 동안구 흥안대로,2021-12-17
