분류번호,위험물유형,수집날짜,위도,경도,노드링크,시작노드,끝노드,도로명주소,데이터기준일자
SAMPLE-00001,종방향 균열,2025-11-15,37.379473,126.907153,LINK023,N033,N002,경기도 안양시 만안로 95,2025-12-31
SAMPLE-00002,거북등 균열,2025-07-28,37.398739,126.977919,LINK039,N026,N029,경기도 안양시 만안로 209,2025-12-31
SAMPLE-00003,거북등 균열,2025-12-03,37.382751,126.934685,LINK018,N064,N023,경기도 안양시 안양로 258,2025-12-31
SAMPLE-00004,종방향 균열,2025-06-10,37.381185,126.977347,LINK024,N031,N012,경기도 안양시 안양로 181,2025-12-31
SAMPLE-00005,횡방향 균열,2025-06-01,37.420049,126.937735,LINK008,N026,N021,경기도 안양시 경수대로 116,2025-12-31
SAMPLE-00006,도로파임,2025-08-10,37.402393,126.921613,LINK039,N061,N047,경기도 안양시 경수대로 293,2025-12-31
SAMPLE-00007,도로파임,2025-07-07,37.409115,126.957575,LINK009,N042,N005,경기도 안양시 관악대로 220,2025-12-31
SAMPLE-00008,종방향 균열,2025-02-21,37.42088,126.894145,LINK023,N079,N055,경기도 안양시 시민대로 130,2025-12-31
SAMPLE-00009,횡방향 균열,2025-03-26,37.401863,126.923509,LINK029,N066,N017,경기도 안양시 관악대로 106,2025-12-31
SAMPLE-00010,도로파임,2025-05-04,37.363038,126.892083,LINK037,N078,N076,경기도 안양시 시민대로 13,2025-12-31
SAMPLE-00011,도로파임,2025-01-27,37.422743,126.908843,LINK004,N018,N057,경기도 안양시 안양로 297,2025-12-31
SAMPLE-00012,거북등 균열,2025-07-06,37.404298,126.923535,LINK003,N046,N031,경기도 안양시 흥안대로 25,2025-12-31
SAMPLE-00013,종방향 균열,2025-02-13,37.377307,126.966491,LINK013,N063,N024,경기도 안양시 관악대로 290,2025-12-31
SAMPLE-00014,종방향 균열,2025-02-23,37.404992,126.922536,LINK030,N031,N054,경기도 안양시 경수대로 60,2025-12-31
SAMPLE-00015,포트홀,2025-12-21,37.404267,126.923534,LINK009,N023,N069,경기도 안양시 시민대로 67,2025-12-31
SAMPLE-00016,포트홀,2025-06-09,37.430496,126.908946,LINK038,N077,N007,경기도 안양시 경수대로 17,2025-12-31
SAMPLE-00017,횡방향 균열,2025-06-01,37.42657,126.891567,LINK019,N043,N006,경기도 안양시 시민대로 49,2025-12-31
SAMPLE-00018,도로파임,2025-12-21,37.404463,126.923785,LINK034,N048,N022,경기도 안양시 안양로 132,2025-12-31
SAMPLE-00019,거북등 균열,2025-07-06,37.364351,126.962153,LINK015,N020,N073,경기도 안양시 학의로 88,2025-12-31
SAMPLE-00020,횡방향 균열,2025-11-04,37.41237,126.894061,LINK003,N046,N028,경기도 안양시 관악대로 196,2025-12-31
SAMPLE-00021,도로파임,2025-01-03,37.404446,126.924026,LINK012,N064,N003,경기도 안양시 만안로 184,2025-12-31
SAMPLE-00022,종방향 균열,2025-12-08,37.39756,126.934134,LINK008,N041,N053,경기도 안양시 관악대로 156,2025-12-31
SAMPLE-00023,횡방향 균열,2025-10-08,37.375284,126.931851,LINK015,N062,N078,경기도 안양시 학의로 235,2025-12-31
SAMPLE-00024,종방향 균열,2025-04-19,37.38177,126.935032,LINK002,N004,N059,경기도 안양시 만안로 77,2025-12-31
SAMPLE-00025,종방향 균열,2025-12-20,37.401362,126.976396,LINK016,N018,N074,경기도 안양시 만안로 99,2025-12-31
SAMPLE-00026,거북등 균열,2025-10-17,37.377772,126.939295,LINK030,N014,N023,경기도 안양시 안양로 74,2025-12-31
SAMPLE-00027,거북등 균열,2025-12-19,37.401848,126.921899,LINK005,N072,N045,경기도 안양시 시민대로 14,2025-12-31
SAMPLE-00028,거북등 균열,2025-02-15,37.402274,126.932859,LINK025,N021,N058,경기도 안양시 안양로 4,2025-12-31
SAMPLE-00029,거북등 균열,2025-05-08,37.396922,126.904798,LINK037,N019,N024,경기도 안양시 시민대로 104,2025-12-31
SAMPLE-00030,종방향 균열,2025-09-17,37.403816,126.922172,LINK030,N007,N070,경기도 안양시 안양로 170,2025-12-31
SAMPLE-00031,횡방향 균열,2025-05-09,37.405105,126.947766,LINK024,N014,N051,경기도 안양시 학의로 97,2025-12-31
SAMPLE-00032,거북등 균열,2025-01-24,37.363633,126.948775,LINK039,N043,N067,경기도 안양시 경수대로 206,2025-12-31
SAMPLE-00033,포트홀,2025-06-01,37.393751,126.957836,LINK020,N052,N061,경기도 안양시 흥안대로 106,2025-12-31
SAMPLE-00034,종방향 균열,2025-08-16,37.39083,126.89625,LINK006,N004,N075,경기도 안양시 경수대로 46,2025-12-31
SAMPLE-00035,포트홀,2025-01-14,37.411377,126.941913,LINK012,N039,N076,경기도 안양시 흥안대로 170,2025-12-31
SAMPLE-00036,종방향 균열,2025-10-21,37.383202,126.935041,LINK034,N026,N046,경기도 안양시 학의로 152,2025-12-31
SAMPLE-00037,도로파임,2025-11-24,37.421504,126.922691,LINK033,N042,N070,경기도 안양시 학의로 59,2025-12-31
SAMPLE-00038,횡방향 균열,2025-03-10,37.420928,126.920784,LINK015,N046,N021,경기도 안양시 안양로 60,2025-12-31
SAMPLE-00039,종방향 균열,2025-06-06,37.395648,126.957077,LINK016,N005,N069,경기도 안양시 흥안대로 186,2025-12-31
SAMPLE-00040,횡방향 균열,2025-09-19,37.402406,126.902936,LINK027,N022,N073,경기도 안양시 흥안대로 31,2025-12-31
SAMPLE-00041,포트홀,2025-10-10,37.434105,126.942787,LINK004,N046,N072,경기도 안양시 만안로 12,2025-12-31
SAMPLE-00042,포트홀,2025-04-03,37.384458,126.936298,LINK003,N012,N013,경기도 안양시 흥안대로 79,2025-12-31
SAMPLE-00043,포트홀,2025-08-09,37.405575,126.907521,LINK018,N060,N021,경기도 안양시 경수대로 232,2025-12-31
SAMPLE-00044,포트홀,2025-10-22,37.365889,126.936442,LINK015,N058,N024,경기도 안양시 안양로 289,2025-12-31
SAMPLE-00045,종방향 균열,2025-02-18,37.401825,126.923582,LINK018,N070,N021,경기도 안양시 만안로 135,2025-12-31
SAMPLE-00046,포트홀,2025-04-20,37.389011,126.921262,LINK011,N048,N073,경기도 안양시 관악대로 1,2025-12-31
