대상시설명,시도명,시군구명,소재지도로명주소,위도,경도,대상시설종류
샘플초등학교1,경기도,안양시,경기도 안양시 경수대로 42,37.394427,126.923573,초등학교
샘플초등학교2,경기도,안양시,경기도 안양시 시민대로 261,37.405841,126.90743,초등학교
샘플초등학교3,경기도,안양시,경기도 안양시 관악대로 49,37.427985,126.941894,초등학교
샘플초등학교4,경기도,안양시,경기도 안양시 안양로 5,37.419319,126.92248,초등학교
샘플초등학교5,경기도,안양시,경기도 안양시 학의로 131,37.423896,126.90291,초등학교
샘플초등학교6,경기도,안양시,경기도 안양시 흥안대로 95,37.407139,126.940013,초등학교
샘플초등학교7,경기도,안양시,경기도 안양시 경수대로 206,37.39463,126.906813,초등학교
샘플초등학교8,경기도,안양시,경기도 안양시 관악대로 74,37.409652,126.919437,초등학교
샘플초등학교9,경기도,안양시,경기도 안양시 만안로 211,37.428812,126.960617,초등학교
샘플초등학교10,경기도,안양시,경기도 안양시 경수대로 84,37.416388,126.934067,초등학교
샘플초등학교11,경기도,안양시,경기도 안양시 흥안대로 208,37.42983,126.945208,초등학교
샘플초등학교12,경기도,안양시,경기도 안양시 경수대로 206,37.379587,126.934649,초등학교
샘플초등학교13,경기도,안양시,경기도 안양시 안양로 288,37.418917,126.904196,초등학교
샘플초등학교14,경기도,안양시,경기도 안양시 경수대로 178,37.423154,126.957434,초등학교
샘플초등학교15,경기도,안양시,경기도 안양시 학의로 31,37.375071,126.96675,초등학교
샘플초등학교16,경기도,안양시,경기도 안양시 학의로 17,37.380496,126.922794,초등학교
샘플초등학교17,경기도,안양시,경기도 안양시 안양로 107,37.394375,126.954301,초등학교
샘플초등학교18,경기도,안양시,경기도 안양시 안양로 262,37.41635,126.952619,초등학교
샘플초등학교19,경기도,안양시,경기도 안양시 흥안대로 225,37.419941,126.908728,초등학교
샘플초등학교20,경기도,안양시,경기도 안양시 흥안대로 41,37.386997,126.91954,초등학교
샘플초등학교21,경기도,안양시,경기도 안양시 관악대로 197,37.419553,126.959785,초등학교
샘플초등학교22,경기도,안양시,경기도 안양시 시민대로 264,37.386485,126.922108,초등학교
샘플초등학교23,경기도,안양시,경기도 안양시 흥안대로 237,37.395657,126.904798,초등학교
샘플초등학교24,경기도,안양시,경기도 안양시 만안로 229,37.3788,126.935581,초등학교
샘플초등학교25,경기도,안양시,경기도 안양시 경수대로 5,37.374629,126.967256,초등학교
샘플초등학교26,경기도,안양시,경기도 안양시 경수대로 151,37.392874,126.924878,초등학교
샘플초등학교27,경기도,안양시,경기도 안양시 학의로 296,37.382872,126.951955,초등학교
샘플초등학교28,경기도,안양시,경기도 안양시 관악대로 116,37.396764,126.911202,초등학교
샘플초등학교29,경기도,안양시,경기도 안양시 만안로 278,37.388967,126.927972,초등학교
샘플초등학교30,경기도,안양시,경기도 안양시 안양로 86,37.372749,126.955924,초등학교
샘플초등학교31,경기도,안양시,경기도 안양시 흥안대로 68,37.393038,126.915976,초등학교
샘플초등학교32,경기도,안양시,경기도 안양시 시민대로 275,37.397671,126.942086,초등학교
샘플초등학교33,경기도,안양시,경기도 안양시 안양로 270,37.382458,126.90364,초등학교
샘플초등학교34,경기도,안양시,경기도 안양시 학의로 34,37.428917,126.904693,초등학교
샘플초등학교35,경기도,안양시,경기도 안양시 만안로 133,37.42018,126.910592,초등학교
샘플초등학교36,경기도,안양시,경기도 안양시 안양로 121,37.394339,126.934154,초등학교
샘플초등학교37,경기도,안양시,경기도 안양시 학의로 227,37.418189,126.904757,초등학교
샘플초등학교38,경기도,안양시,경기도 안양시 만안로 212,37.429814,126.959003,초등학교
샘플초등학교39,경기도,안양시,경기도 안양시 학의로 113,37.389471,126.902906,초등학교
샘플초등학교40,경기도,안양시,경기도 안양시 안양로 262,37.399638,126.942757,초등학교
