scope,class,class_ko,precision,recall,mAP50,mAP50_95
val,D00,종방향 균열,0.12025135609147948,0.12110726643598616,0.04261241352692306,0.014277766469573558
val,D10,횡방향 균열,0.026505588159876605,0.09523809523809523,0.0970990990121576,0.03790445711370761
val,D20,거북등 균열,0.17025498112211654,0.13808463251670378,0.08983220168252791,0.03282723114691011
val,D40,포트홀,0.23043028343066424,0.09121245828698554,0.06063416790623838,0.023388128913766126
test,D00,종방향 균열,0.41782332219716367,0.2127076776429118,0.21163300907957777,0.07539962432832739
test,D10,횡방향 균열,0.2010895308331871,0.22509225092250923,0.12340674179672254,0.03149365465400877
test,D20,거북등 균열,0.12170004892645983,0.41414141414141414,0.1122546865892958,0.03390908207001897
test,D40,포트홀,0.13494299065411017,0.09395973154362416,0.05388180779411242,0.012129484133355765
val,ALL,전체,0.1368605522010342,0.11141061311944267,0.07254447053196174,0.02709939591098935
test,ALL,전체,0.21888897315273018,0.23647526856261483,0.12529406131492715,0.03823296129642771
